"","reclat","reclong","lat_lng"
"2435",-76.7167,159.3547,"-76.7167,159.3547"
"2436",-76.7138,158.7711,"-76.7138,158.7711"
"2437",-76.6914,159.29,"-76.6914,159.29"
"2438",-76.7042,159.3975,"-76.7042,159.3975"
"2439",-76.662,159.3365,"-76.662,159.3365"
"2440",-76.6872,159.3533,"-76.6872,159.3533"
"2441",-76.816,158.154,"-76.816,158.154"
"2442",-76.6828,159.3472,"-76.6828,159.3472"
"2443",-76.6814,159.3444,"-76.6814,159.3444"
"2444",-76.6994,159.3075,"-76.6994,159.3075"
"2445",-76.6886,159.3797,"-76.6886,159.3797"
"2446",-76.7006,159.3661,"-76.7006,159.3661"
"2447",-76.7011,159.2514,"-76.7011,159.2514"
"2448",-76.6765,159.252,"-76.6765,159.252"
"2449",-76.7078,159.3675,"-76.7078,159.3675"
"2450",-76.6992,159.3975,"-76.6992,159.3975"
"2451",-76.6914,159.39,"-76.6914,159.39"
"2452",-76.6892,159.3836,"-76.6892,159.3836"
"2453",-76.7228,159.3711,"-76.7228,159.3711"
"2454",-76.6986,159.3964,"-76.6986,159.3964"
"2455",-76.677,159.267,"-76.677,159.267"
"2456",-76.669,159.3037,"-76.669,159.3037"
"2457",-76.677,159.2664,"-76.677,159.2664"
"2458",-76.7094,159.37,"-76.7094,159.37"
"2459",-76.6928,159.3183,"-76.6928,159.3183"
"2460",-76.657,159.3231,"-76.657,159.3231"
"2461",-76.7233,159.275,"-76.7233,159.275"
"2462",-76.7033,159.3967,"-76.7033,159.3967"
"2463",-76.6906,159.3514,"-76.6906,159.3514"
"2464",-76.6709,159.3237,"-76.6709,159.3237"
"2465",-76.6919,159.388,"-76.6919,159.388"
"2466",-76.6883,159.3614,"-76.6883,159.3614"
"2467",-76.7166,158.734,"-76.7166,158.734"
"2468",-76.6936,159.3942,"-76.6936,159.3942"
"2469",-76.6831,159.3461,"-76.6831,159.3461"
"2470",-76.6825,159.33,"-76.6825,159.33"
"2471",-76.6856,159.333,"-76.6856,159.333"
"2472",-76.6947,159.3842,"-76.6947,159.3842"
"2473",-76.6933,159.3925,"-76.6933,159.3925"
"2474",-76.6881,159.3611,"-76.6881,159.3611"
"2475",-76.695,159.3861,"-76.695,159.3861"
"2476",-76.6811,159.3461,"-76.6811,159.3461"
"2477",-76.7105,158.7848,"-76.7105,158.7848"
"2478",-76.6842,159.3575,"-76.6842,159.3575"
